,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
108,Georgia Tech,32,14,18,.438,7.63,8.84,6,12,11,7,3,9,2091,2130,,68.1,95.6,.343,.334,.525,48.3,57.4,10.1,14.4,.492,18.7,25.3,.236
109,Georgia,32,11,21,.344,5.64,8.46,2,16,8,9,2,9,2274,2364,,70.4,100.9,.413,.370,.540,52.1,54.5,8.2,12.7,.501,19.4,32.7,.291
110,Gonzaga,33,30,3,.909,28.37,4.58,16,0,17,0,9,1,2932,2147,,71.6,124.1,.360,.353,.627,54.3,55.9,10.5,13.4,.596,12.8,30.6,.276
111,Grambling,33,17,16,.515,-9.87,-9.50,10,8,11,3,6,11,2353,2262,,71.5,98.9,.433,.302,.545,50.7,49.6,7.9,11.7,.509,19.4,26.7,.296
112,Grand Canyon,32,20,12,.625,5.38,-1.78,10,6,12,2,5,7,2440,2187,,69.5,108.9,.345,.381,.556,52.6,53.4,8.7,5.8,.520,15.1,30.3,.254
113,Green Bay,33,17,16,.515,-3.31,-0.02,10,8,12,3,4,12,2653,2633,,76.4,104.4,.346,.363,.547,47.6,51.8,10.2,10.8,.515,14.8,25.0,.244
114,Hampton,31,15,16,.484,-4.15,-5.22,9,7,10,3,5,11,2533,2380,,72.8,109.6,.354,.385,.547,50.2,50.6,8.4,9.5,.500,12.6,27.9,.276
115,Hartford,33,18,15,.545,-3.60,-4.54,10,6,10,4,8,9,2477,2407,,68.0,108.4,.332,.454,.574,47.4,54.5,10.0,6.0,.542,15.7,25.3,.246
116,Harvard,27,17,10,.630,1.50,0.04,10,4,9,2,7,8,1923,1873,,68.6,101.5,.308,.420,.563,53.3,48.6,8.3,11.2,.537,20.3,27.8,.218
117,Hawaii,31,18,13,.581,-0.96,-3.27,9,7,12,5,4,5,2241,2131,,67.6,106.1,.330,.430,.555,51.1,60.7,7.4,5.8,.527,15.4,26.8,.229
118,High Point,31,16,15,.516,-5.66,-4.42,9,7,9,4,5,8,2115,2105,,65.5,103.0,.351,.339,.527,55.0,52.9,8.3,9.8,.496,16.8,34.2,.238
119,Hofstra,34,27,7,.794,4.96,-4.70,15,3,15,1,10,5,2841,2469,,68.1,119.2,.376,.389,.606,50.7,49.0,9.3,9.1,.564,12.4,27.8,.301
