,,Overall,,,,,,Conf.,,Home,,Away,,Points,,,,Opponent Totals,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
304,Tennessee Tech,28,7,21,0.25,-14.87,-1.94,3,12,5,8,2,12,1910,2151,,1130,767,1729,0.444,218,634,0.344,399,555,0.719,332,1083,461,246,92,412,528
305,Tennessee,26,24,2,0.923,22.95,7.79,12,1,16,0,6,1,2177,1753,,1050,614,1559,0.394,206,619,0.333,319,503,0.634,311,881,322,157,62,354,503
306,Texas A&M-Corpus Christi,26,11,15,0.423,-7.38,-3.74,6,7,8,5,3,9,1742,1724,,1045,568,1366,0.416,194,553,0.351,394,538,0.732,214,846,326,165,97,378,467
307,Texas A&M,25,11,14,0.44,7.76,8.16,4,9,8,7,2,5,1789,1799,,1000,644,1543,0.417,223,662,0.337,288,416,0.692,310,915,381,175,115,327,439
308,Texas-Arlington,27,12,15,0.444,-1.61,1.73,8,6,7,4,5,10,1827,1890,,1095,664,1546,0.429,175,578,0.303,387,575,0.673,269,957,347,173,106,356,506
309,Texas Christian,26,17,9,0.654,14.42,8.54,5,8,11,3,2,6,1953,1800,,1045,647,1526,0.424,170,545,0.312,336,460,0.73,260,877,378,141,98,347,430
310,Texas-El Paso,25,8,17,0.32,-6.54,-0.23,3,11,8,6,0,11,1620,1731,,1000,618,1456,0.424,189,531,0.356,306,465,0.658,244,877,291,173,88,339,508
311,Texas-Rio Grande Valley,29,16,13,0.552,-0.86,-0.38,7,5,10,7,6,6,2003,1990,,1165,672,1561,0.43,162,532,0.305,484,697,0.694,334,1153,383,182,105,529,634
312,Texas-San Antonio,27,15,12,0.556,2.36,0.18,9,5,10,3,4,6,2136,2030,,1090,712,1666,0.427,208,664,0.313,398,564,0.706,270,1062,339,147,92,373,446
313,Texas Southern,25,14,11,0.56,-6,-3.82,9,3,6,1,8,10,1967,1975,,1005,722,1584,0.456,200,552,0.362,331,509,0.65,294,989,395,184,91,382,514
314,Texas State,27,21,6,0.778,3.85,-2.47,10,4,10,2,9,3,2006,1727,,1090,583,1436,0.406,162,554,0.292,399,546,0.731,224,872,281,165,105,407,510
315,Texas Tech,26,21,5,0.808,20.73,6.38,9,4,14,1,4,3,1859,1486,,1040,488,1350,0.361,149,539,0.276,361,532,0.679,260,833,237,171,63,425,500
316,Texas,26,15,11,0.577,16.25,10.64,7,6,11,5,2,5,1864,1718,,1045,613,1457,0.421,192,547,0.351,300,440,0.682,265,891,288,141,79,343,441
317,Toledo,26,20,6,0.769,8.83,0.43,8,5,11,2,6,4,2040,1789,,1050,662,1632,0.406,180,576,0.313,285,419,0.68,258,926,284,160,76,281,436
318,Towson,28,10,18,0.357,-6.95,-2.76,6,9,5,6,4,6,1908,1994,,1150,675,1577,0.428,249,719,0.346,395,527,0.75,255,902,404,145,67,289,470
319,Troy,25,11,14,0.44,-4.92,-0.61,4,9,8,5,3,9,1879,1898,,1010,676,1510,0.448,221,576,0.384,325,469,0.693,275,888,328,157,51,313,432
320,Tulane,25,4,21,0.16,-7.73,3.27,0,13,3,9,0,8,1651,1926,,1000,699,1597,0.438,205,605,0.339,323,480,0.673,298,976,355,194,91,265,465
321,Tulsa,27,16,11,0.593,5.09,4.09,6,8,12,3,3,6,1932,1905,,1090,657,1630,0.403,238,732,0.325,353,508,0.695,305,1013,369,182,81,335,536
322,UCLA,27,14,13,0.519,8.08,6.56,7,7,10,5,3,5,2097,2056,,1090,733,1747,0.42,244,717,0.34,346,487,0.71,285,973,451,204,86,321,524
323,Utah State,27,21,6,0.778,12.18,-0.21,11,3,12,1,7,4,2123,1774,,1080,594,1524,0.39,213,611,0.349,373,523,0.713,222,834,302,164,86,349,520
324,Utah Valley,26,18,8,0.692,3.2,-1.96,7,4,9,1,6,7,2025,1853,,1040,654,1515,0.432,196,546,0.359,349,489,0.714,222,827,348,183,67,318,525
325,Utah,26,14,12,0.538,6.13,5.4,8,6,8,5,5,4,1959,1940,,1045,693,1525,0.454,200,565,0.354,354,489,0.724,249,836,335,157,102,261,489
326,Valparaiso,28,14,14,0.5,-2.36,-0.63,7,8,8,6,5,6,1916,1869,,1135,672,1559,0.431,182,550,0.331,343,485,0.707,256,914,340,196,82,361,470
327,Vanderbilt,26,9,17,0.346,6.33,7.52,0,13,8,8,1,7,1848,1879,,1045,656,1546,0.424,184,560,0.329,383,529,0.724,268,922,308,164,93,296,509
328,Vermont,27,21,6,0.778,5.04,-3.08,11,2,11,2,10,3,2017,1740,,1090,631,1482,0.426,190,544,0.349,288,397,0.725,197,843,288,143,71,362,541
329,Villanova,27,20,7,0.741,15.72,7.46,11,3,11,2,5,4,2043,1820,,1090,657,1509,0.435,198,581,0.341,308,440,0.7,252,882,366,144,60,324,505
330,Virginia Commonwealth,26,20,6,0.769,12.51,3.43,11,2,13,1,6,4,1845,1609,,1050,549,1443,0.38,128,485,0.264,383,552,0.694,303,923,280,167,64,425,518
331,VMI,27,7,20,0.259,-11.92,1.16,1,14,6,6,1,13,2017,2208,,1090,791,1665,0.475,238,645,0.369,388,541,0.717,260,1049,418,177,101,352,444
332,Virginia Tech,26,20,6,0.769,19.67,6.21,9,5,12,2,4,4,1942,1592,,1040,556,1363,0.408,234,681,0.344,246,353,0.697,235,768,316,133,79,388,422
333,Virginia,25,23,2,0.92,25.95,8.75,11,2,12,1,8,1,1794,1364,,1005,494,1312,0.377,137,530,0.258,239,371,0.644,226,744,219,137,67,282,395
334,Wagner,26,13,13,0.5,-10.75,-7.25,8,7,7,5,6,7,1730,1734,,1045,561,1338,0.419,187,557,0.336,425,609,0.698,232,865,300,154,78,346,475
335,Wake Forest,25,10,15,0.4,1.18,7.74,3,10,7,6,1,8,1717,1881,,1010,673,1443,0.466,200,582,0.344,335,481,0.696,226,842,390,174,104,276,495
336,Washington State,26,11,15,0.423,0.83,0.98,4,9,9,4,2,6,2006,2010,,1040,739,1600,0.462,237,677,0.35,295,447,0.66,276,931,395,178,60,329,452
337,Washington,26,21,5,0.808,13.59,6.17,12,1,13,0,6,3,1855,1662,,1040,579,1426,0.406,162,500,0.324,342,489,0.699,302,872,336,151,55,420,491
338,Weber State,27,16,11,0.593,-2.48,-5.28,10,6,9,4,5,4,2182,2003,,1090,730,1716,0.425,166,536,0.31,377,547,0.689,264,986,324,158,71,306,509
339,West Virginia,26,10,16,0.385,5.43,9.86,2,11,8,6,0,7,1836,1951,,1045,663,1486,0.446,191,538,0.355,434,612,0.709,275,900,347,220,87,351,578
340,Western Carolina,29,7,22,0.241,-8.17,1.58,4,12,4,7,3,12,2069,2303,,1175,819,1714,0.478,207,645,0.321,458,673,0.681,260,931,378,262,120,308,559
341,Western Illinois,26,8,18,0.308,-9.62,-5.37,3,10,6,6,2,12,1859,1894,,1045,694,1572,0.441,228,590,0.386,278,421,0.66,242,965,321,151,72,284,386
342,Western Kentucky,27,16,11,0.593,2.88,1,9,5,9,3,5,7,1948,1897,,1095,689,1643,0.419,229,672,0.341,290,425,0.682,277,947,346,162,95,339,482
343,Western Michigan,26,8,18,0.308,-6.23,1.45,2,11,5,7,2,10,1848,1993,,1055,715,1614,0.443,234,632,0.37,329,451,0.729,272,920,365,200,84,279,492
344,Wichita State,25,13,12,0.52,6.14,6.14,6,7,8,3,2,7,1746,1746,,1005,587,1379,0.426,181,528,0.343,391,572,0.684,239,882,289,136,96,319,427
